headline,category,source
"Oyun sektörünün en büyük anlaşması: Microsoft'un, Call of Duty'nin sahibi Activision’ı satın almasına yeşil ışık",Teknoloji,BBC Turkce
GSS ve Bağ-Kur prim borcu olanlar  2026'da sağlık hizmeti alabilecek,Saglik,BBC Turkce
"Sağlık çalışanları için ikinci doz, 65 yaş üstü için ilk doz aşı uygulaması başladı",Egitim,BBC Turkce
Yerin kilometrelerce altındaki deprem fay hatları nasıl inceleniyor?,Bilim,BBC Turkce
Yaz saati uygulaması sağlığımızı nasıl etkiliyor?,Saglik,BBC Turkce
Sarımsağın yolculuğu: Köle sofralarından modern mutfağa,Saglik,BBC Turkce
Önümüzdeki yıllar gıda fiyatlarının rekor kıracağı bir dönem mi olacak?,Ekonomi,BBC Turkce
"Kamçatka'da 8,8'lik depremin ardından 500 yıldır uyuyan yanardağ harekete geçti",Bilim,BBC Turkce
Afganistan'da Taliban kadınlara üniversite eğitimini yasakladı,Egitim,BBC Turkce
"Airbnb, ev partilerini engellemek için yapay zeka kullanmaya başladı",Teknoloji,BBC Turkce
Fırtına öncesi Icardi zirvesi: Karar günü yarın!,Spor,Haberturk
Regl takvimi uygulamalarında kişisel bilgilerinizi nasıl koruyabilirsiniz?,Saglik,BBC Turkce
"5G'ye geçiş için Ankara'da tören düzenlendi, ilk sinyal 1 Nisan'da",Teknoloji,BBC Turkce
Erimeyen dondurma mümkün mü?,Saglik,BBC Turkce
"HGS ve Anadolu Sigorta'ya siber saldırılar nasıl düzenlendi, kişisel veriler çalındı mı?",Teknoloji,BBC Turkce
Güneş ruhumuz ve bedenimiz için neden faydalı?,Saglik,BBC Turkce
"Disney, bilgisayar korsanlarının şirketin iç yazışmalarını sızdırdığı iddialarına inceleme başlattı",Teknoloji,BBC Turkce
"Hazar Denizi'nde su seviyesi iklim değişikliğinin de etkisiyle düşüyor: 'Sorun çok ciddi, kıyıdaş ülkeler işbirliği yapmalı'",Ekonomi,BBC Turkce
WikiLeaks'e bilgi sızdırmaktan suçlu bulunan eski CIA çalışanı Joshua Schulte'ye 40 yıl hapis cezası: 'İstihbarat servisinin tarihindeki en büyük sızıntı',Teknoloji,BBC Turkce
"‘Elektrikli çimento’ nedir, yakın gelecekte kullanılabilir mi?",Bilim,BBC Turkce
